Restaurant ID,Restaurant Name,Has Table booking,Has Online delivery,Is delivering now,Price range,aggregateID,Aggregate rating,Votes,Address,Cuisines,Longitude,Latitude
6703176,Veloso,No,No,No,3,6,4.6,58,"Rua Concei_o Veloso, 56, Vila Mariana, So Paulo","Brazilian, Bar Food, Beverages",-46.63566667,-23.58516667
6713772,Sainte Marie Gastronomia,No,No,No,4,5,4.1,11,"Rua Dom Joo Batista da Costa, 70, Vila Snia, So Paulo","Lebanese, Arabian",-46.746958,-23.609207
17284404,Austin's BBQ and Oyster Bar,No,No,No,2,3,3.3,35,"2820 Meredyth Dr, Albany, GA 31707","BBQ, Burger, Seafood",-84.221535,31.610387
17284203,BJ's Country Buffet,No,No,No,1,3,3.3,25,"2401 Dawson Rd, Albany, GA 31707","American, BBQ",-84.207095,31.608743
17284105,Cookie Shoppe,No,No,No,1,3,3.4,34,"115 N Jackson St, Albany, GA 31701",,-84.154,31.5772
17284302,El Vaquero Mexican Restaurant,No,No,No,1,3,3.4,45,"2700 Dawson Rd, Albany, GA 31707",Mexican,-84.2194,31.6158
17284397,Elements Coffee Co - Northwest,No,No,No,1,3,3.4,26,"2726 Ledo Rd Ste 10, Albany, GA 31707","Coffee and Tea, Sandwich",-84.206944,31.622412
17284211,Pearly's Famous Country Cookng,No,No,No,1,3,3.4,36,"814 N Slappey Blvd, Albany, GA 31701",,-84.1759,31.5882
17284094,Chick-fil-A,No,No,No,1,4,3.5,67,"2703 Dawson Rd, Albany, GA 31707",Fast Food,-84.2193,31.616
17284409,Guang Zhou Chinese Restaurant,No,No,No,1,4,3.9,141,"1214 N Westover Blvd, Albany, GA 31707","Asian, Chinese, Vegetarian",-84.2091458,31.6155186
17284139,Harvest Moon,No,No,No,2,4,3.7,147,"2347 Dawson Road, Albany, GA 31707","Pizza, Bar Food, Sandwich",-84.205718,31.604905
17284403,Henry Campbell's Steakhouse,No,No,No,4,4,3.5,51,"629 N. Westover Blvd, Albany, GA 31707","Steak, Tapas, Bar Food",-84.223278,31.612121
17284145,Hong Kong Cafe,No,No,No,2,4,3.6,88,"2700 Dawson Rd, Albany, GA 31707","Chinese, Seafood, Vegetarian",-84.2191,31.6156
17284150,House of China Restaurant II,No,No,No,1,4,3.8,153,"2526 Dawson Rd Ste A, Albany, GA 31707",Chinese,-84.212,31.6104
17284158,Jimmie's Hot Dogs,No,No,No,1,4,3.9,160,"204 S Jackson St, Albany, GA 31701",,-84.1534,31.5751
17284175,Locos Grill & Pub,No,No,No,2,4,3.5,57,"547 N Westover Blvd, Albany, GA 31707","American, Burger, Sandwich",-84.2228,31.6077
17284179,Longhorn Steakhouse,No,No,No,2,4,3.5,58,"2733 Dawson Rd, Albany, GA 31707","American, Steak",-84.2229,31.6185
17284197,Mikata Japanese Steakhouse,No,No,No,3,4,3.6,115,"2610 Dawson Rd, Albany, GA 31707","Japanese, Steak, Sushi",-84.2164,31.6137
17284241,Shogun Japanese Steak House,No,No,No,3,4,3.5,51,"629 N Westover Blvd, Albany, GA 31707","Japanese, Steak, Sushi",-84.2233,31.6118
17284390,The Catch Seafood Room & Oyster Bar,No,No,No,3,4,3.8,250,"2332 Whispering Pines Road, Albany, GA 31707","Seafood, Tapas, Bar Food",-84.205025,31.605882
17284279,Villa Gargano,No,No,No,1,4,3.7,117,"1604 N Slappey Blvd, Albany, GA 31701","Italian, Pizza",-84.1757,31.5985
17284364,3 Squares Diner,No,No,No,1,3,3.4,20,"202 W Franklin St, Sylvester, GA 31791","American, Breakfast, Diner",-83.8389,31.5308
16611114,Whitebull Hotel,No,No,No,2,4,3.5,25,"117 Marsh St, Armidale, NSW","Bar Food, Steak",151.6688792,-30.5147169
17293281,Last Resort Grill,No,No,No,3,6,4.5,1821,"184 W Clayton St, Athens, GA 30601","American, Southern, Southwestern",-83.378273,33.957999
17293301,Mama's Boy Restaurant,No,No,No,1,6,4.5,849,"197 Oak St, GA 30601",Southern,-83.3654,33.9535
17293409,Sr. Sol 1,No,No,No,1,6,4.6,917,"175 Tallassee Rd, Athens, GA 30606",Mexican,-83.4293,33.9652
17293163,Choo Choo Eastside,No,No,No,1,4,3.9,439,"1055 Gaines School Rd Ste 100, Athens, GA 30605","Japanese, Korean",-83.3389,33.9259
17293228,The Grill,No,No,No,1,4,3.7,289,"171 College Ave, Athens, GA 30601","Breakfast, Burger, Sandwich",-83.375523,33.958198
17293880,Big City Bread Cafe,No,No,No,1,5,4.3,558,"393 N Finley St, Athens, GA 30601","Breakfast, Sandwich",-83.384004,33.959392
17293169,Clocked,No,No,No,1,5,4.2,613,"259 W Washington St, Athens, GA 30601","American, Burger, Sandwich",-83.3797,33.9584
17293186,DePalma's Italian Cafe - Downtown,No,No,No,2,5,4,353,"401 E Broad St, Athens, GA 30601","American, Italian, Pizza",-83.373596,33.958112
17293180,DePalma's Italian Cafe - East Side,No,No,No,2,5,4.1,387,"1965 Barnett Shoals Rd, Athens, GA 30605","American, Italian, Pizza",-83.33995,33.924275
17293205,Five & Ten,No,No,No,3,5,4.3,755,"1073 South Milledge Ave, Athens, GA 30605",American,-83.3872482,33.9415545
17293229,Grit,No,No,No,1,5,4.2,800,"199 Prince Ave, Athens, GA 30601","International, Southern, Vegetarian",-83.381625,33.960112
17293897,Ike & Jane,No,No,No,1,5,4.1,350,"1307 Prince Ave, Athens, GA 30606",Sandwich,-83.400887,33.963296
17293273,La Dolce Vita Ristorante,No,No,No,3,5,4.1,464,"323 E Broad St, Athens, GA 30601",Italian,-83.4075,33.9584
17293870,Shokitini,No,No,No,2,5,4.2,550,"251 W Clayton St, Athens, GA 30601","Asian, Japanese, Sushi",-83.379251,33.957503
17293877,Taqueria Del Sol,No,No,No,1,5,4.1,543,"334 Prince Ave, Athens, GA 30601","Mexican, Spanish",-83.383605,33.960571
17293890,The National,No,No,No,3,5,4.1,465,"232 W. Hancock Ave., Athens, GA 30601","International, Southern",-83.37967,33.959468
17293915,The Royal Peasant,No,No,No,1,5,4.4,546,"1675 S. Lumpkin St., Athens, GA 30606",Bar Food,-83.38728,33.937502
17293422,Transmetropolitan,No,No,No,1,5,4.4,1098,"145 E Clayton St, Athens, GA 30601","Italian, Pizza, Sandwich",-83.3764,33.9584
17293873,Trappeze Pub,No,No,No,2,5,4.2,579,"269 N Hull St, Athens, GA 30601","Burger, Bar Food",-83.378881,33.958363
17294014,Viva! Argentine Cuisine,No,No,No,1,5,4.1,374,"247 Prince Ave, Athens, GA 30601","Desserts, Latin American, Argentine",-83.3828224,33.9600227
17294556,Miyabi Kyoto Japanese Steak House,No,No,No,3,6,4.6,717,"1315 Augusta West Pkwy, Augusta, GA 30909","Chinese, Steak",-82.0865,33.4721
17294607,Rae's Coastal Cafe,No,No,No,3,6,4.9,548,"3208 W Wimbledon Dr, Augusta, GA 30909","American, Caribbean, Seafood",-82.0698,33.4791
17294279,The Bee's Knees,No,No,No,2,6,4.5,631,"211 10th Street, Augusta, GA 30901","International, Tapas, Vegetarian",-81.97,33.4765
17294300,Boll Weevil Cafe,No,No,No,1,4,3.9,372,"10 9th St, Augusta, GA 30901","Desserts, Sandwich, Southern",-81.9684,33.474
17295215,Farmhaus Burger,No,No,No,2,4,3.9,201,"1204 Broad St, Augusta, GA 30901","American, Burger",-81.973006,33.477444
17295028,Manuel's Bread Cafe,No,No,No,3,4,3.8,332,"505 Railroad Ave, North Augusta, GA 29841","Breakfast, French",-81.965571,33.481779
17294642,Sconyers Bar B Que,No,No,No,2,4,3.5,304,"2250 Sconyers Way, Augusta, GA 30906",BBQ,-82.0327,33.4086
17295109,Frog Hollow Tavern,No,No,No,3,5,4.3,368,"1282 broad street, Augusta, GA 30901",American,-81.974944,33.478231
17294441,Giuseppe's Pizza & Italian Specialities,No,No,No,2,5,4.1,430,"3690 Wheeler Rd, Augusta, GA 30909","Desserts, Italian, Pizza",-82.096,33.4827
17294552,Mellow Mushroom,No,No,No,2,5,4.4,433,"1167 Broad St, Augusta, GA 30901","Italian, Pizza, Sandwich",-81.9721,33.4778
17294565,Nacho Mamas Burritos,No,No,No,1,5,4,380,"976 Broad St, Augusta, GA 30901",Mexican,-81.9694,33.4764
17294623,Rhinehart's Oyster Bar,No,No,No,2,5,4,456,"3051 Washington Rd, Augusta, GA 30907","Bar Food, Sandwich, Seafood",-82.0505,33.5133
17294712,Takosushi,No,No,No,3,5,4.2,647,"437 Highland Ave, Augusta, GA 30909","Mexican, Southwestern, Sushi",-82.0301,33.4848
17295033,The Chop House,No,No,No,3,5,4,360,"Augusta Mall, Augusta, GA 30909",Steak,-82.080788,33.467201
17295069,The Taj of India,No,No,No,2,5,4,227,"502 Furys Ferry Rd, Augusta, GA 30907",Indian,-82.0805493,33.5375868
17294261,Augsburg Haus,No,No,No,2,4,3.9,290,"4460 Washington Road, Evans, GA 30809",German,-82.143793,33.544342
17295115,Pho Bac,No,No,No,1,5,4.1,270,"4300 Towne Centre, Evans, GA 30809",Vietnamese,-82.126161,33.532249
17294836,Rhinehart's Oyster Bar,No,No,No,2,5,4,326,"303 North Bel Air Rd, Evans, GA 30809","Burger, Seafood",-82.141284,33.521291
17294850,Thai Kitchen,No,No,No,3,5,4.3,317,"4357 Washington Road, Evans, GA 30809",Thai,-82.1328,33.5406
17294883,El Kiosco Mexican Restaurant,No,No,No,1,5,4.2,300,"5174 Wrightsboro Rd, Grovetown, GA 30813",Mexican,-82.1997,33.4574
16608864,Taste of Balingup,No,No,No,2,3,3.2,21,"63 South Western Hwy, Balingup, WA",Modern Australian,115.9844924,-33.7845269
16604911,Bridge Road Brewers,No,No,No,2,6,4.6,237,"Old Coach House 50 Ford St, Beechworth, Beechworth, VIC","Pizza, Bar Food",146.685852,-36.360439
17303465,Bardenay,No,No,No,2,6,4.5,879,"610 W Grove St, Boise, ID 83702","American, Bar Food",-116.2019,43.6138
17303642,Flatbread Neapolitan Pizzeria,No,No,No,2,6,4.6,615,"800 W Main Suite 230, Boise, ID 83702","Italian, Pizza",-116.203466,43.616068
